PlacemarkName,Kelurahan,Kecamatan,Kota,Provinsi,acsacsacs,"Center Longitude","Status Polygon",Polygon
BLOOTO,BLOOTO,"PRAJURIT KULON","KOTA MOJOKERTO","JAWA TIMUR",acsasc,112.41334999999999,"Polygon Tersedia",
GEDONGAN,GEDONGAN,MAGERSARI,"KOTA MOJOKERTO","JAWA TIMUR",-7.46275,112.4385,"Polygon Tersedia",
"GUNUNG GEDANGAN","GUNUNG GEDANGAN",MAGERSARI,"KOTA MOJOKERTO","JAWA TIMUR",-7.47455,112.45444999999999,"Polygon Tersedia",
JAGALAN,JAGALAN,KRANGGAN,"KOTA MOJOKERTO","JAWA TIMUR",acsasccasacs,112.43725000000001,"Polygon Tersedia",
KEDUNDUNG,KEDUNDUNG,MAGERSARI,"KOTA MOJOKERTO","JAWA TIMUR",-7.46305,112.4585,"Polygon Tersedia",
MAGERSARI,MAGERSARI,MAGERSARI,"KOTA MOJOKERTO","JAWA TIMUR",-7.45945,112.43825,"Polygon Tersedia",
MENTIKAN,MENTIKAN,"PRAJURIT KULON","KOTA MOJOKERTO","JAWA TIMUR",-7.46745,112.42795,"Polygon Tersedia",
MERI,MERI,KRANGGAN,"KOTA MOJOKERTO","JAWA TIMUR",-7.48105,112.4481,"Polygon Tersedia",
MIJI,MIJI,KRANGGAN,"KOTA MOJOKERTO","JAWA TIMUR",-7.47635,112.43519999999999,"Polygon Tersedia",
"PRAJURIT KULON","PRAJURIT KULON","PRAJURIT KULON","KOTA MOJOKERTO","JAWA TIMUR",-7.47505,112.4238,"Polygon Tersedia",
PULOREJO,PULOREJO,"PRAJURIT KULON","KOTA MOJOKERTO","JAWA TIMUR",acsasccasacsacs,112.42149999999999,"Polygon Tersedia",
PURWOTENGAH,PURWOTENGAH,KRANGGAN,"KOTA MOJOKERTO","JAWA TIMUR",-7.4647,112.43575,"Polygon Tersedia",
SENTANAN,SENTANAN,KRANGGAN,"KOTA MOJOKERTO","JAWA TIMUR",-7.46905,112.43355,"Polygon Tersedia",
SURODINAWAN,SURODINAWAN,"PRAJURIT KULON","KOTA MOJOKERTO","JAWA TIMUR",-7.4873,112.4198,"Polygon Tersedia",
WATES,WATES,MAGERSARI,"KOTA MOJOKERTO","JAWA TIMUR",-7.45515,112.44974999999999,"Polygon Tersedia",
BALONGSARI,BALONGSARI,MAGERSARI,"KOTA MOJOKERTO","JAWA TIMUR",-7.4685,112.44305,"Polygon Tersedia",
KAUMAN,KAUMAN,"PRAJURIT KULON","KOTA MOJOKERTO","JAWA TIMUR",cas,112.4302,"Polygon Tersedia",
KRANGGAN,KRANGGAN,KRANGGAN,"KOTA MOJOKERTO","JAWA TIMUR",-7.48015,112.43585,"Polygon Tersedia",
